Genre: Free Form,From: 2023-08-01,Thru: 2024-03-22
Compiled: 2024-03-22 02:15
Show,Date,Track,Dur,Artist,Album,Released,Label,Composer
"Dear ____,",2023-10-21,"Mausam Mastana - From ""Satte Pe Satta""",4:37,"Asha Bhosle, Dilraj Kaur, R. D. Burman",Best Old Hindi Songs,2023,UME - Global Clearing House,""
"Dear ____,",2023-10-21,"Zindagi Ke Safar Mein - From ""Damaad""",5:06,"Asha Bhosle, Mohammed Rafi",Best Old Hindi Songs,2023,UME - Global Clearing House,""
"Dear ____,",2023-10-21,"Dilbar Mere - From ""Satte Pe Satta""",4:47,"Kishore Kumar, Anette, R. D. Burman",Satte Pe Satta (Original Motion Picture Soundtrack),1981,Universal Music India Pvt Ltd.,""
"Dear ____,",2023-10-21,"Pyar Hamen Kis Mod Pe - From ""Satte Pe Satta""",6:33,"Kishore Kumar, R. D. Burman, Bhupinder Singh, Sapan Chakraborty, Gulshan Bawra",Satte Pe Satta (Original Motion Picture Soundtrack),1981,Universal Music India Pvt Ltd.,""
"Dear ____,",2023-10-21,"Zindagi Milke Bitayenge - Sad Version / From ""Satte Pe Satta""",1:47,"Kishore Kumar, R. D. Burman",Satte Pe Satta (Original Motion Picture Soundtrack),1981,Universal Music India Pvt Ltd.,""
"Dear ____,",2023-10-21,Ye Sach Hai Koi Kahani Nahin - Amar Akbar Anthony / Soundtrack Version,2:22,Mohammed Rafi,Amar Akbar Anthony (Original Motion Picture Soundtrack),1981,Universal Music India Pvt Ltd.,""
"Dear ____,",2023-10-21,"My Name Is Anthony Gonsalves - From ""Amar Akbar Anthony""",5:32,"Kishore Kumar, Amitabh Bachchan",Amar Akbar Anthony (Original Motion Picture Soundtrack),1981,Universal Music India Pvt Ltd.,""
"Dear ____,",2023-10-21,Kaisi Paheli Zindagani,3:27,"Big Bat Music, Shubhangi Tewari",Kaisi Paheli Zindagani,2021,Big Bat Music,""
"Dear ____,",2023-10-21,Dil To Bachcha Hai,5:33,Rahat Fateh Ali Khan,Ishqiya,2009,T-Series,""
"Dear ____,",2023-10-21,Jhoome Jo Pathaan,3:28,"Vishal-Shekhar, Arijit Singh, Sukriti Kakar, Vishal Dadlani, Shekhar Ravjiani, Kumaar",Pathaan,2022,YRF Music,""
"Dear ____,",2023-10-21,"Chaleya (From ""Jawan"")",3:20,"Anirudh Ravichander, Arijit Singh, Shilpa Rao, Kumaar","Chaleya (From ""Jawan"")",2023,T-Series,""
"Dear ____,",2023-10-21,Chand Sifarish,4:35,"Jatin-Lalit, Shaan, Kailash Kher, Prasoon Joshi",Fanaa,2006,YRF Music,""
"Dear ____,",2023-10-21,"Dil Kehta Hai (From ""Akele Hum Akele Tum"")",6:55,"Kumar Sanu, Alka Yagnik",Hits of Aamir Khan,2016,Ishtar Music Pvt. Ltd.,""
"Dear ____,",2023-10-21,Bum Bum Bole,5:35,"Shaan, Aamir Khan",Taare Zameen Par,2007,T-Series,""
The Bright Side,2023-10-21,odoriko,3:50,Vaundy,odoriko,2021,SDR Inc.,""
The Bright Side,2023-10-21,"Am I Dreaming (Metro Boomin & A$AP Rocky, Roisee)",4:16,"Metro Boomin, A$AP Rocky, Roisee",METRO BOOMIN PRESENTS SPIDER-MAN: ACROSS THE SPIDER-VERSE (SOUNDTRACK FROM AND INSPIRED BY THE MOTION PICTURE),2023,Republic Records,""
The Bright Side,2023-10-21,Dil To Bachcha Hai,5:33,Rahat Fateh Ali Khan,Ishqiya,2009,T-Series,""
The Bright Side,2023-10-21,Kaisi Paheli Zindagani,3:27,"Big Bat Music, Shubhangi Tewari",Kaisi Paheli Zindagani,2021,Big Bat Music,""
The Bright Side,2023-10-21,Paper Hearts,3:19,Tori Kelly,Foreword,2013,Tori Kelly,""
The Bright Side,2023-10-21,The Kissing Song,3:22,Noah Davis,The A Side,2023,Noah Davis Music,""
The Bright Side,2023-10-21,Main Kya Karoon,4:30,"Pritam, Nikhil Paul George",Barfi! (Original Motion Picture Soundtrack),2012,UTV,""
The Bright Side,2023-10-21,seasons,4:16,wave to earth,summer flows 0.02,2020,we are not 0,""
The Bright Side,2023-10-21,(They Long To Be) Close To You,2:33,Frank Sinatra,Sinatra & Company,1971,FRANK SINATRA DIGITAL REPRISE,""
The Bright Side,2023-10-21,Water,3:20,Tyla,Water,2023,FAX Records/Epic,""
The Bright Side,2023-10-21,N'y pense plus,3:32,Tayc,N'y pense plus,2020,Play Two,""
The Bright Side,2023-10-21,The Worst,4:14,Jhené Aiko,Sail Out,2013,Def Jam Recordings,""
The Bright Side,2023-10-21,Better,3:49,Khalid,Suncity,2018,"Right Hand Music Group, LLC/RCA Records",""
The Bright Side,2023-10-21,Impossible,4:02,Travis Scott,Rodeo,2015,Cactus Jack / Epic,""
The Bright Side,2023-10-21,Motion,2:15,PALLBEARERDONDADA,Motion,2023,"Stash Money Records, LLC",""
The Bright Side,2023-10-21,How Long,3:20,Charlie Puth,Voicenotes,2018,Artist Partner,""
The Bright Side,2023-10-21,Desi Kalakaar,4:13,Yo Yo Honey Singh,Desi Kalakaar,2014,T-Series,""
The Bright Side,2023-10-21,Champion's Anthem,3:24,"Karan Aujla, Ikky",Making Memories,2023,WM Canada,""
The Bright Side,2023-10-21,Gangsta,3:10,"Karan Aujla, YG",Way Ahead,2022,Rehaan Records,""
The Bright Side,2023-10-21,Top Notch Gabru,2:38,Vicky,Top Notch Gabru,2021,Rehaan Records,""
The Bright Side,2023-10-21,SPAIN - Extended Version,2:16,"Jassa Dhillon, thiarajxtt",SPAIN (Extended Version),2023,Jassa Dhillon,""
The Bright Side,2023-10-21,No Safety,1:58,"Sukha, Manni Sandhu",No Safety,2023,Collab Creations Ltd,""
The Bright Side,2023-10-21,One Love,2:39,Shubh,One Love,2023,SHUBH,""
The Bright Side,2023-10-21,Safar,3:17,"Juss, MixSingh",Safar,2022,Mix It up Studio,""
The Bright Side,2023-10-21,Admirin' You (feat. Preston Pablo),3:34,"Karan Aujla, Ikky, Preston Pablo",Admirin' You (feat. Preston Pablo),2023,WM Canada,""
The Bright Side,2023-10-21,JEANS (with Miguel),3:15,"Jessie Reyez, Miguel",JEANS,2023,Jessie Reyez Profit Split,""
The Bright Side,2023-10-21,Baazigar,2:49,"DIVINE, Armani White",Gunehgar,2022,Mass Appeal India,""
The Bright Side,2023-10-21,Kannazhaga - The Kiss of Love,3:25,"Anirudh Ravichander, Dhanush, Shruti Haasan",3 (Original Motion Picture Soundtrack),2011,Sony Music Entertainment India Pvt. Ltd.,""
The Bright Side,2023-10-21,Katiya Karun,3:58,Harshdeep Kaur,Rockstar,2011,T-Series,""
The Bright Side,2023-10-21,apart of me,1:16,Takayoshi,apart of me,2023,Takayoshi,""
The Bright Side,2023-10-21,Adore You,2:32,Bryant Barnes,Adore You,2023,Republic Records,""
The Bright Side,2023-10-21,AIN'T EVEN FRIENDS (with Mariah The Scientist),2:58,"Ryan Trey, Mariah the Scientist",AIN'T EVEN FRIENDS (with Mariah The Scientist),2023,#JUSTAREGULARDAY/Interscope Records,""
The Bright Side,2023-10-21,Love Quotes,3:15,Jenevieve,Love Quotes,2022,Joyface Records/Interscope Records,""
The Bright Side,2023-10-21,Buzzed,2:39,"¿Téo?, WILLOW",Sol,2021,49 Digits LLC,""
The Bright Side,2023-10-21,Courtside,2:26,Tim Atlas,Courtside,2021,Nettwerk Music Group,""
The Bright Side,2023-10-21,Palo Santo,2:55,Saint Joshua,Palo Santo,2022,Saint Joshua Entertainment,""
The Bright Side,2023-10-21,We Might Even Be Falling In Love (Interlude),0:51,Victoria Monét,JAGUAR,2020,Tribe Records,""
The Bright Side,2023-10-21,Undercover,3:18,Sam Wills,Breathe,2021,eOne Music UK,""
The Bright Side,2023-10-21,Tiptoeing,2:35,Hope Tala,Tiptoeing,2021,EMI,""
The Bright Side,2023-10-21,Body Better - Acoustic,3:15,Maisie Peters,Body Better (Acoustic),2023,Atlantic Records UK,""
The Bright Side,2023-10-21,i should’ve fucked your brother,3:15,Olivia O'Brien,i should’ve fucked your brother,2023,Olivia O'Brien,""
The Bright Side,2023-10-21,Touching Yourself,3:01,The Japanese House,In the End It Always Does,2023,Dirty Hit,""
The Bright Side,2023-10-21,YOU AGAINST YOURSELF,2:26,Ruel,4TH WALL,2023,RCA Records Label,""
The Bright Side,2023-10-21,See You Later,2:35,The Band CAMINO,The Dark,2023,DBLBLK Records/Elektra,""
The Bright Side,2023-10-21,Blonde,3:01,Maisie Peters,Blonde,2022,Atlantic Records UK,""
The Bright Side,2023-10-21,I Don't Miss You,3:37,JP Saxe,A Grey Area,2023,Arista Records,""
The Bright Side,2023-10-21,Run,2:49,Maisie Peters,The Good Witch,2023,Atlantic Records UK,""
The Bright Side,2023-10-21,u turn me on (but u give me depression),2:27,LØLØ,u turn me on (but u give me depression),2022,Hopeless Records,""
The Bright Side,2023-10-21,Disco Man,3:12,Remi Wolf,I'm Allergic To Dogs!,2020,Island Records,""
The Bright Side,2023-10-21,Lucy,2:22,"Still Woozy, ODIE",Lucy,2018,"Still Woozy Productions Inc., under exclusive license to Interscope Records",""
The Bright Side,2023-10-21,Basta Ya,2:56,The Marías,"Superclean, Vol. I",2017,Superclean Records,""
The Bright Side,2023-10-21,One Day,3:21,"EXES, Jome",One Day,2018,EXES,""
The Bright Side,2023-10-21,Music Sounds Better with You,3:18,NEIL FRANCES,Music Sounds Better with You,2017,Nettwerk Music Group,""
The Bright Side,2023-10-21,Not Another Love Song,4:15,Ella Mai,Heart On My Sleeve,2022,10 Summers/Interscope Records,""
The Bright Side,2023-10-21,"Am I Dreaming (Metro Boomin & A$AP Rocky, Roisee)",4:16,"Metro Boomin, A$AP Rocky, Roisee",METRO BOOMIN PRESENTS SPIDER-MAN: ACROSS THE SPIDER-VERSE (SOUNDTRACK FROM AND INSPIRED BY THE MOTION PICTURE),2023,Republic Records,""
The Bright Side,2023-10-21,O Re Piya,6:19,"Salim–Sulaiman, Rahat Fateh Ali Khan, Jaideep Sahni",Aaja Nachle,2007,YRF Music,""
The Bright Side,2023-10-21,Slime You Out (feat. SZA),5:10,"Drake, SZA",Slime You Out,2023,OVO,""
The Bright Side,2023-10-21,Manitoba,2:15,Eric Reprid,3TERNITY,2022,Eric Reprid Music Ltd.,""
The Bright Side,2023-10-21,End Game,4:04,"Taylor Swift, Ed Sheeran, Future",reputation,2017,"Big Machine Records, LLC",""
The Bright Side,2023-10-21,SIMPLE,2:46,Kevin Powers,GOOD 4 NOW,2022,Seeing Sounds LLC,""
The Bright Side,2023-10-21,SNEAKY,2:38,Kevin Powers,GOOD 4 NOW,2022,Seeing Sounds LLC,""
The Bright Side,2023-10-21,Heaven,1:27,"$pade$, Dro Kenji",Heaven,2023,Novecore,""
The Bright Side,2023-10-21,NEVER LOVED ME,1:33,Dro Kenji,RACE ME TO HELL,2020,MiraTouch / Internet Money Records / 10K Projects,""
The Bright Side,2023-10-21,Up Now,2:32,"devRAB, Kevin Powers",Up Now,2022,Reboot Records,""
The Bright Side,2023-10-21,Let Me Go,2:44,"Patrick Cc:, Malik",Let Me Go,2021,JOTA CREATE MORE,""
The Bright Side,2023-10-21,ONE TIME,3:12,Dro Kenji,LOST IN HERE,2022,Internet Money Records/MiraTouch/10K Projects,""
The Bright Side,2023-10-21,Overkill,3:06,Holly Humberstone,Falling Asleep At The Wheel,2020,Platoon,""
The Bright Side,2023-10-21,Rush,3:13,William Singe,Rush,2017,RCA Records Label,""
The Bright Side,2023-10-21,Slowly,2:53,Weston Estate,Slowly,2023,Arista Records,""
The Bright Side,2023-10-21,Roz Roz,3:38,"The Yellow Diary, Shilpa Rao",Roz Roz,2021,Sony Music Entertainment India Pvt. Ltd.,""
The Bright Side,2023-10-21,Abhi Na Jao Chhod Kar,4:18,"Asha Bhosle, Mohammed Rafi",Hum Dono (Original Motion Picture Soundtrack),1961,Saregama,""
The Bright Side,2023-10-21,"Chaleya (From ""Jawan"")",3:20,"Anirudh Ravichander, Arijit Singh, Shilpa Rao, Kumaar","Chaleya (From ""Jawan"")",2023,T-Series,""
The Bright Side,2023-10-21,Wake Up,3:45,Pompi,999 World,2022,4416224 Records DK,""
The Bright Side,2023-10-21,Heeriye (feat. Arijit Singh),3:14,"Jasleen Royal, Arijit Singh, Dulquer Salmaan",Heeriye (feat. Arijit Singh),2023,Warner Music India,""
The Bright Side,2023-10-21,Funk Song,2:52,"Kidjaywest, Talwiinder, Ikath",Funk Song,2020,The Ikath Collective / Kidjaywest / Talwiinder,""
The Bright Side,2023-10-21,Angels in Tibet,2:22,Amaarae,Fountain Baby,2023,Golden Angel/ Interscope Records,""
The Bright Side,2023-10-21,Falling Behind,2:53,Laufey,Everything I Know About Love,2022,Laufey,""
The Bright Side,2023-10-21,Do Not Disturb,3:50,Mahalia,Do Not Disturb,2019,Atlantic Records UK,""
The Bright Side,2023-10-21,Want It All (feat. Polo G),3:52,"Burna Boy, Polo G",Want It All (feat. Polo G),2021,Spaceship/ Bad Habit/Atlantic Records,""
The Bright Side,2023-10-21,Freefall,3:01,"KAYTRANADA, Durand Bernarr",BUBBA,2019,KAYTRANADA/RCA Records,""
The Bright Side,2023-10-21,traffic,2:20,YKB,YUSFUL MUSIC,2023,MARS,""
The Bright Side,2023-10-21,"act i: stickerz ""99""",1:44,4batz,"act i: stickerz ""99""",2023,5522223 Records DK,""
The Bright Side,2023-10-21,Keep Me In Love,2:36,Alina Baraz,Keep Me In Love,2023,Alina Baraz,""
The Bright Side,2023-10-21,Zina,3:57,Babylone,Brya,2013,Aswatt Studio,""
The Bright Side,2023-10-21,Need Somebody,3:29,Lekan,Need Somebody,2023,Human Re Sources / At The Studio / By The Way,""
The Bright Side,2023-10-21,Cascade,1:34,Kyle Lux,Cascade,2023,Kyle Lux,""
The Bright Side,2023-10-21,Go Hard,2:38,"Chani Nattan, Inderpal Moga, J-Statik",Takeover,2023,Chani Nattan (Music),""
The Bright Side,2023-10-21,SWEET / I THOUGHT YOU WANTED TO DANCE (feat. Brent Faiyaz & Fana Hues),9:48,"Tyler, The Creator, Brent Faiyaz, Fana Hues",CALL ME IF YOU GET LOST,2021,Columbia,""
The Bright Side,2023-10-21,Need a Best Friend (feat. Lil Quee and Quando Rondo),3:24,"A Boogie Wit da Hoodie, Lil Quee, Quando Rondo",Hoodie SZN,2018,Highbridge the Label / Atlantic Records,""
The Bright Side,2023-10-21,What It Is (Block Boy) (with Kodak Black),3:43,"Doechii, Kodak Black",What It Is (Block Boy) (with Kodak Black),2023,Top Dawg Entertainment/Capitol Records,""
The Bright Side,2023-10-21,Over,3:27,Lucky Daye,Candydrip,2022,Keep Cool/RCA Records,""
The Bright Side,2023-10-21,You Got It,3:23,Vedo,For You,2020,New Wav Music Group / Island Prolific / EMPIRE,""
The Bright Side,2023-10-21,I Fall Apart,3:43,Post Malone,Stoney (Deluxe),2016,Universal Records,""
The Bright Side,2023-10-21,1964,4:13,Blossom Caldarone,Sit and Be,2017,Sid & Ruby Recordings,""
The Bright Side,2023-10-21,Oh Honey,3:30,Neighbor Lady,Maybe Later,2018,Self Released,""
The Bright Side,2023-10-21,Memories,4:08,Conan Gray,Superache,2022,Republic Records,""
The Bright Side,2023-10-21,Easy,4:16,Commodores,Commodores,1977,Motown,""
The Bright Side,2023-10-21,Keep That to Yourself,4:15,Tristan,Keep That to Yourself,2023,Tristan,""
The Bright Side,2023-10-21,Cashew,3:03,Jude York,Cashew,2023,Yoyo Music,""
The Bright Side,2023-10-21,Fame,4:50,"2Pac, Kadafi, Kastro, Young Noble, Napoleon",Better Dayz,2002,Interscope,""
It's One Hundred Twenty Minutes More or Less,2023-10-22,"Quando, Quando, Quando - 2004 Remaster",2:48,Tony Renis,Made In Italy,2004,EMI Marketing,""
It's One Hundred Twenty Minutes More or Less,2023-10-22,Northern Sky,3:44,Nick Drake,Bryter Layter,1970,Universal-Island Records Ltd.,""
It's One Hundred Twenty Minutes More or Less,2023-10-22,Adieu,5:39,Emily Bindiger,COWBOY BEBOP (Original Motion Picture Soundtrack 3 - Blue),1999,SUNRISE Music Label,""
It's One Hundred Twenty Minutes More or Less,2023-10-22,Basil's Kite,2:36,Cap'n Jazz,Analphabetapolothology,1998,Epitaph,""
It's One Hundred Twenty Minutes More or Less,2023-10-22,In a Jar,3:28,Dinosaur Jr.,You're Living All Over Me,1987,Baked Goods,""
It's One Hundred Twenty Minutes More or Less,2023-10-22,Silly Girl,2:25,Descendents,I Don't Want to Grow Up,1985,Descendents,""
It's One Hundred Twenty Minutes More or Less,2023-10-22,Mistake,2:45,Lots of Hands,Mistake,2020,Lots of Hands,""
It's One Hundred Twenty Minutes More or Less,2023-10-22,Sears Tower,3:07,SALEM,Fires In Heaven,2020,Salem,""
It's One Hundred Twenty Minutes More or Less,2023-10-22,The Breakup Suite,3:20,Duster,Contemporary Movement,2000,Numero Group,""
It's One Hundred Twenty Minutes More or Less,2023-10-22,Hey Nineteen,5:07,Steely Dan,Gaucho,1980,Geffen*,""
It's One Hundred Twenty Minutes More or Less,2023-10-22,Softer Cell,1:55,YOU LOVE HER,You Love Her Coz She's Dead,2011,ROPP REX,""
It's One Hundred Twenty Minutes More or Less,2023-10-22,Green River,2:34,Creedence Clearwater Revival,Green River (Expanded Edition),1969,Craft Recordings,""
It's One Hundred Twenty Minutes More or Less,2023-10-22,Wildflower,3:39,Beach House,Depression Cherry,2015,Sub Pop Records,""
It's One Hundred Twenty Minutes More or Less,2023-10-22,Lunacy,2:49,DirtyDaimyo,Lunacy,2022,SDA1Â® syndicate,""
It's One Hundred Twenty Minutes More or Less,2023-10-22,Gym Class,3:37,Lil Peep,Gym Class,2016,Lil Peep,""
It's One Hundred Twenty Minutes More or Less,2023-10-22,TimeshareCondominium,1:27,BONES,DeadBoy,2014,TeamSESH,""
It's One Hundred Twenty Minutes More or Less,2023-10-22,Sick,3:20,SALEM,King Night (Amazon Exclusive Version),2010,IAMSOUND,""
It's One Hundred Twenty Minutes More or Less,2023-10-22,Climbing Up the Walls,4:45,Radiohead,OK Computer,1997,XL Recordings,""
It's One Hundred Twenty Minutes More or Less,2023-10-22,Mary Jane (All Night Long),4:39,Mary J. Blige,My Life,1994,Uptown,""
It's One Hundred Twenty Minutes More or Less,2023-10-22,Pro: Lov: Ad,5:46,Sweet Trip,Velocity: Design: Comfort.,2003,Darla Records,""
It's One Hundred Twenty Minutes More or Less,2023-10-22,Highway,4:33,Elusin,SYNFUELS,2022,Elusin,""
It's One Hundred Twenty Minutes More or Less,2023-10-22,"Softer, Softest",3:27,Hole,Live Through This,1994,DGC,""
It's One Hundred Twenty Minutes More or Less,2023-10-22,Do It Again,5:57,Steely Dan,Can't Buy A Thrill,1972,Geffen,""
It's One Hundred Twenty Minutes More or Less,2023-10-22,Obscured - Remastered,5:21,The Smashing Pumpkins,Pisces Iscariot (Deluxe),1994,Virgin Records,""
It's One Hundred Twenty Minutes More or Less,2023-10-22,Celia's Dream,4:09,Slowdive,Just For A Day,1991,Sony Music UK,""
It's One Hundred Twenty Minutes More or Less,2023-10-22,Du Oasch,5:13,Der Nino aus Wien,Down in Albern,2009,ProblembÃ¤r Records,""
It's One Hundred Twenty Minutes More or Less,2023-10-22,Nikes On My Feet,2:44,Mac Miller,K.I.D.S.,2010,Rostrum Records,""
It's One Hundred Twenty Minutes More or Less,2023-10-22,Trilla (feat. A$AP Nast & A$AP Twelvyy),4:04,"A$AP Rocky, A$AP NAST, A$AP Twelvyy",LIVE.LOVE.A$AP,2011,A$AP Worldwide/Polo Grounds Musi,""
It's One Hundred Twenty Minutes More or Less,2023-10-22,AUS MEIN KOPF,1:41,Yung Hurn,"CRAZY HORSE CLUB MIXTAPE, VOL. 1",2022,Yung Hurn/WM Germany,""
It's One Hundred Twenty Minutes More or Less,2023-10-22,Only In Dreams,7:59,Weezer,Weezer,1994,DGC,""
Kitchen Morning Melodies,2023-10-22,Autumn Breeze,3:09,Paul Bley,Paul Bley,1954,Verve Reissues,""
Kitchen Morning Melodies,2023-10-22,It Had To Be You - 2009 Remaster,3:54,Frank Sinatra,"Sinatra, With Love",2014,FRANK SINATRA HYBRID,""
Kitchen Morning Melodies,2023-10-22,Nothing Can Change This Love,2:38,Sam Cooke,Mr. Soul,1963,RCA/Legacy,""
Kitchen Morning Melodies,2023-10-22,Thank You - 2008 Remaster,2:50,Bonnie Raitt,Bonnie Raitt (2008 Remaster),1971,Rhino/Warner Records,""
Kitchen Morning Melodies,2023-10-22,Cigarettes and Coffee,4:00,Otis Redding,The Soul Album,1966,Rhino,""
Kitchen Morning Melodies,2023-10-22,A Sunday Kind Of Love,3:16,Etta James,At Last!,1960,Geffen*,""
Kitchen Morning Melodies,2023-10-22,You Send Me,2:29,Aretha Franklin,Aretha Now,1968,Rhino Atlantic,""
Kitchen Morning Melodies,2023-10-22,Come Rain or Come Shine,3:42,Ray Charles,The Genius Of Ray Charles,1959,Rhino Atlantic,""
Kitchen Morning Melodies,2023-10-22,Tis Autumn - 2002 Remastered Version,3:06,Nat King Cole,Route 66,2000,Dreyfus Jazz,""
Kitchen Morning Melodies,2023-10-22,Stormy Weather,3:07,Etta James,At Last!,1960,Geffen*,""
Kitchen Morning Melodies,2023-10-22,Forever - Single Version,2:23,The Little Dippers,Forever,1968,University Records,""
Kitchen Morning Melodies,2023-10-22,Sweetest Thing on This Side of Heaven,3:41,Papa Bear & His Cubs,You're so Fine,2019,Athens Of The North,""
Kitchen Morning Melodies,2023-10-22,I Wish I Knew How It Would Feel to Be Free,3:08,Nina Simone,Silk & Soul (Expanded Edition),1967,RCA/Legacy,""
Kitchen Morning Melodies,2023-10-22,You Make Me Feel So Young - Remastered 1998,2:57,Frank Sinatra,Songs For Swingin' Lovers! (Remastered),1956,Capitol Records,""
Kitchen Morning Melodies,2023-10-22,How Sweet It Is (To Be Loved By You) - 2019 Remaster,3:36,James Taylor,Gorilla (2019 Remaster),1975,Rhino/Warner Records,""
Kitchen Morning Melodies,2023-10-22,This Will Be (An Everlasting Love),2:51,Natalie Cole,Inseparable,1975,Capitol Records,""
Kitchen Morning Melodies,2023-10-22,Bitter with the Sweet,2:27,Carole King,Rhymes & Reasons,1972,Epic,""
Exile in Cville,2023-10-22,Autumn Sweater,5:18,Yo La Tengo,I Can Hear The Heart Beating As One,1997,Matador,""
Exile in Cville,2023-10-22,(Nice Dream),3:53,Radiohead,The Bends,1995,XL Recordings,""
Exile in Cville,2023-10-22,Lightning Crashes,5:25,Live,Throwing Copper,1994,Radioactive Records 40%,""
Exile in Cville,2023-10-22,Last Day of Our Acquaintance,4:38,SinÃ©ad O'Connor,I Do Not Want What I Haven't Got,1990,Chrysalis Records,""
Exile in Cville,2023-10-22,Ordinary World,5:40,Duran Duran,Duran Duran,1993,Parlophone UK,""
Exile in Cville,2023-10-22,Hey Jupiter - Dakota Version; 2016 Remaster,6:05,Tori Amos,Boys for Pele (Deluxe Edition),1996,Rhino Atlantic,""
Exile in Cville,2023-10-22,Go West,3:17,Liz Phair,Whip-Smart,1994,Capitol Records,""
Exile in Cville,2023-10-22,Joy,4:11,The Sundays,Reading Writing And Arithmetic,1990,Parlophone UK,""
Exile in Cville,2023-10-22,Mayonaise - 2011 Remaster,5:48,The Smashing Pumpkins,Siamese Dream (Deluxe Edition),1993,Virgin Records,""
Exile in Cville,2023-10-22,Sunday,3:31,The Cranberries,"Everybody Else Is Doing It, So Why Can't We?",1993,Island Records,""
Exile in Cville,2023-10-22,Kiss Me,3:28,Sixpence None The Richer,Sixpence None the Richer,1997,Word Entertainment,""
Exile in Cville,2023-10-22,Cowboy Take Me Away,4:47,The Chicks,Fly,1999,Monument,""
Let's Rock Radio,2023-10-22,Falling,6:56,Xiu Xiu,Plays the Music of Twin Peaks,2016,Polyvinyl Records,""
Let's Rock Radio,2023-10-22,Run,5:18,Flooding,Silhouette Machine,2023,Flooding,""
Let's Rock Radio,2023-10-22,Pixelated Premonitions - White Ring Remix,4:04,"Trace Amount, White Ring",Pixelated Premonitions (White Ring Remix),2022,Federal Prisoner,""
Let's Rock Radio,2023-10-22,"Zombie - Live, 1977",6:31,Death SS,The Story of Death Ss 1977 - 1984,1987,Fuel REcords,""
Let's Rock Radio,2023-10-22,Cinnamon Kiss,5:18,Nuclear Daisies,Nuclear Daisies,2022,Portrayal of Guilt,""
Let's Rock Radio,2023-10-22,Mental Static,1:55,GEL,Shock Therapy,2022,Convulse Records,""
Let's Rock Radio,2023-10-22,Concussion,2:42,Cerce,Cerce,2012,Record Union,""
Let's Rock Radio,2023-10-22,Who Needs Language,1:33,Gouge Away,", Dies",2016,Eighty-Sixed Records,""
Let's Rock Radio,2023-10-22,When There's Eye Contact,1:34,Gouge Away,", Dies",2016,Eighty-Sixed Records,""
Let's Rock Radio,2023-10-22,Shallow Gasps,1:01,Stresscase,Split,2013,Mayfly Records,""
Let's Rock Radio,2023-10-22,Private Execution,7:10,The Drones,Feelin Kinda Free,2016,TFS Records,""
Let's Rock Radio,2023-10-22,sludged,3:38,death insurance,i'm in your walls,2022,hi it's death insurance,""
Let's Rock Radio,2023-10-22,The Devil Shining Out Your Eyes,1:59,Eyelet,The Devil Shining Out Your Eyes,2020,Eyelet,""
Let's Rock Radio,2023-10-22,Spears,2:10,Shin Guard,2020,2019,Shin Guard,""
Let's Rock Radio,2023-10-22,Lemon Glow,4:04,Beach House,7,2018,Bella Union,""
Let's Rock Radio,2023-10-22,Leprosy,2:38,White Ring,Gate of Grief,2018,Rocket Girl,""
Let's Rock Radio,2023-10-22,Fleece,2:35,Crystal Castles,Fleece,2016,[PIAS] Recordings Catalogue,""
Let's Rock Radio,2023-10-22,Lost,2:28,Crim3s,Stay Ugly EP,2013,Crim3s,""
Let's Rock Radio,2023-10-22,Worms Will Feed / Rats Will Feast,5:52,Converge,Axe To Fall,2009,Epitaph,""
Let's Rock Radio,2023-10-22,It Ain't Like That,4:37,Alice In Chains,Facelift,1990,Columbia,""
Let's Rock Radio,2023-10-22,Go With The Flow,3:07,Queens of the Stone Age,Songs For The Deaf,2002,Interscope,""
Let's Rock Radio,2023-10-22,One Hundred Years,6:39,The Cure,Pornography,1982,Polydor Records,""
Let's Rock Radio,2023-10-22,Wasted Time,3:17,DREAM BLACK,MYTHICAL,2020,El Cuco Recordings,""
Let's Rock Radio,2023-10-22,Beyond Belief - 2019 Remaster,5:48,The Cassandra Complex,Hello America (2019 Remaster),1986,Complex Music,""
Let's Rock Radio,2023-10-22,Hitherto,3:52,Cocteau Twins,The Pink Opaque,1986,4AD,""
Let's Rock Radio,2023-10-22,A Happy Death,4:51,Strange Boutique,The Loved One,1991,1288248 Records DK,""
Let's Rock Radio,2023-10-22,Hypocrite,2:53,Lush,Split,1994,4AD,""
Let's Rock Radio,2023-10-22,Sweetest Chill,4:07,Siouxsie and the Banshees,Tinderbox,1986,UMC (Universal Music Catalogue),""
The LowDown,2023-10-22,Moon Song,4:37,Phoebe Bridgers,Punisher,2020,Dead Oceans,""
The LowDown,2023-10-22,We'll Never Have Sex,1:39,Leith Ross,We'll Never Have Sex,2022,Republic Records,""
The LowDown,2023-10-22,My Love Mine All Mine,2:17,Mitski,The Land Is Inhospitable and So Are We,2023,Dead Oceans,""
The LowDown,2023-10-22,White Ferrari,4:08,Frank Ocean,Blonde,2016,Boys Don't Cry,""
The LowDown,2023-10-22,As the World Caves In,3:38,Matt Maltese,As the World Caves In,2017,Cafe Bleu Recordings,""
The LowDown,2023-10-22,Lovesong,4:05,beabadoobee,Lovesong,2022,Dirty Hit,""
The LowDown,2023-10-22,So My Darling - Acoustic,3:48,Rachel Chinouriri,So My Darling (Acoustic),2022,Parlophone UK,""
The LowDown,2023-10-22,Eugene,3:43,Arlo Parks,Collapsed In Sunbeams,2021,Transgressive,""
